County,StateCode,Deaths,Population,Category
Webb County, TX (48479),78,"271,193",Diabetes
Wharton County, TX (48481),12,"41,735",Diabetes
Wichita County, TX (48485),47,"131,838",Diabetes
Williamson County, TX (48491),49,"528,718",Diabetes
Wise County, TX (48497),13,"64,455",Diabetes
Wood County, TX (48499),13,"44,227",Diabetes
Box Elder County, UT (49003),18,"53,139",Diabetes
Cache County, UT (49005),26,"122,753",Diabetes
Davis County, UT (49011),64,"342,281",Diabetes
Salt Lake County, UT (49035),264,"1,121,354",Diabetes
Sevier County, UT (49041),10,"21,267",Diabetes
Tooele County, UT (49045),13,"64,833",Diabetes
Uintah County, UT (49047),15,"36,373",Diabetes
Utah County, UT (49049),74,"592,299",Diabetes
Washington County, UT (49053),26,"160,245",Diabetes
Weber County, UT (49057),58,"247,560",Diabetes
Bennington County, VT (50003),17,"36,191",Diabetes
Chittenden County, VT (50007),33,"161,531",Diabetes
Franklin County, VT (50011),16,"48,915",Diabetes
Orleans County, VT (50019),13,"26,863",Diabetes
Rutland County, VT (50021),19,"59,310",Diabetes
Washington County, VT (50023),12,"58,504",Diabetes
Windham County, VT (50025),10,"43,145",Diabetes
Windsor County, VT (50027),15,"55,496",Diabetes
Albemarle County, VA (51003),12,"106,878",Diabetes
Appomattox County, VA (51011),11,"15,475",Diabetes
Arlington County, VA (51013),19,"230,050",Diabetes
Augusta County, VA (51015),20,"74,997",Diabetes
Bedford County, VA (51019),33,"77,960",Diabetes
Buchanan County, VA (51027),10,"22,178",Diabetes
Campbell County, VA (51031),12,"54,952",Diabetes
Chesterfield County, VA (51041),67,"339,009",Diabetes
Culpeper County, VA (51047),15,"50,083",Diabetes
Dinwiddie County, VA (51053),13,"28,144",Diabetes
Fairfax County, VA (51059),129,"1,138,652",Diabetes
Fauquier County, VA (51061),11,"69,069",Diabetes
Franklin County, VA (51067),19,"56,069",Diabetes
Frederick County, VA (51069),15,"84,421",Diabetes
Halifax County, VA (51083),10,"34,992",Diabetes
Hanover County, VA (51085),21,"104,392",Diabetes
Henrico County, VA (51087),72,"326,501",Diabetes
Henry County, VA (51089),18,"51,445",Diabetes
Isle of Wight County, VA (51093),12,"36,596",Diabetes
James City County, VA (51095),19,"74,404",Diabetes
Loudoun County, VA (51107),36,"385,945",Diabetes
Louisa County, VA (51109),13,"35,236",Diabetes
Mecklenburg County, VA (51117),21,"30,892",Diabetes
Montgomery County, VA (51121),20,"98,602",Diabetes
Northampton County, VA (51131),10,"12,139",Diabetes
Nottoway County, VA (51135),10,"15,595",Diabetes
Page County, VA (51139),12,"23,654",Diabetes
Pittsylvania County, VA (51143),25,"61,687",Diabetes
Prince William County, VA (51153),54,"455,210",Diabetes
Pulaski County, VA (51155),20,"34,203",Diabetes
Roanoke County, VA (51161),20,"94,031",Diabetes
Rockingham County, VA (51165),24,"79,744",Diabetes
Russell County, VA (51167),19,"27,370",Diabetes
Shenandoah County, VA (51171),17,"43,175",Diabetes
Smyth County, VA (51173),12,"31,062",Diabetes
Spotsylvania County, VA (51177),21,"132,010",Diabetes
Stafford County, VA (51179),21,"144,361",Diabetes
Tazewell County, VA (51185),31,"42,150",Diabetes
Washington County, VA (51191),20,"54,214",Diabetes
Wise County, VA (51195),21,"39,228",Diabetes
Wythe County, VA (51197),15,"29,016",Diabetes
York County, VA (51199),17,"67,976",Diabetes
Alexandria city, VA (51510),23,"155,810",Diabetes
Bristol city, VA (51520),12,"16,960",Diabetes
Chesapeake city, VA (51550),67,"237,940",Diabetes
Danville city, VA (51590),25,"41,898",Diabetes
Hampton city, VA (51650),53,"135,410",Diabetes
Hopewell city, VA (51670),18,"22,735",Diabetes
Lynchburg city, VA (51680),22,"80,212",Diabetes
Martinsville city, VA (51690),11,"13,445",Diabetes
Newport News city, VA (51700),75,"181,825",Diabetes
Norfolk city, VA (51710),77,"245,115",Diabetes
Petersburg city, VA (51730),21,"31,882",Diabetes
Portsmouth city, VA (51740),53,"95,252",Diabetes
Richmond city, VA (51760),68,"223,170",Diabetes
Roanoke city, VA (51770),26,"99,660",Diabetes
Staunton city, VA (51790),10,"24,363",Diabetes
Suffolk city, VA (51800),25,"89,273",Diabetes
Virginia Beach city, VA (51810),120,"452,602",Diabetes
Adams County, WA (53001),12,"19,238",Diabetes
Benton County, WA (53005),47,"193,686",Diabetes
Chelan County, WA (53007),28,"76,338",Diabetes
Clallam County, WA (53009),23,"74,570",Diabetes
Clark County, WA (53011),133,"467,018",Diabetes
Cowlitz County, WA (53015),55,"105,160",Diabetes
Franklin County, WA (53021),15,"90,160",Diabetes
Grant County, WA (53025),26,"93,546",Diabetes
Grays Harbor County, WA (53027),24,"71,628",Diabetes
Island County, WA (53029),20,"82,636",Diabetes
King County, WA (53033),365,"2,149,970",Diabetes
Kitsap County, WA (53035),58,"264,811",Diabetes
Lewis County, WA (53041),21,"77,066",Diabetes
Mason County, WA (53045),15,"62,198",Diabetes
Okanogan County, WA (53047),16,"41,554",Diabetes
Pierce County, WA (53053),189,"861,312",Diabetes
Skagit County, WA (53057),36,"123,681",Diabetes
Snohomish County, WA (53061),167,"787,620",Diabetes
Spokane County, WA (53063),152,"499,072",Diabetes
Thurston County, WA (53067),76,"275,222",Diabetes
Walla Walla County, WA (53071),29,"60,340",Diabetes
Whatcom County, WA (53073),44,"216,800",Diabetes
Yakima County, WA (53077),53,"249,636",Diabetes
Barbour County, WV (54001),11,"16,831",Diabetes
Berkeley County, WV (54003),46,"113,525",Diabetes
Boone County, WV (54005),18,"22,816",Diabetes
Braxton County, WV (54007),12,"14,471",Diabetes
Cabell County, WV (54011),48,"95,987",Diabetes
Fayette County, WV (54019),33,"44,323",Diabetes
Greenbrier County, WV (54025),14,"35,279",Diabetes
Hampshire County, WV (54027),12,"23,301",Diabetes
Harrison County, WV (54033),21,"68,400",Diabetes
Jackson County, WV (54035),10,"29,152",Diabetes
Jefferson County, WV (54037),21,"56,368",Diabetes
Kanawha County, WV (54039),83,"186,241",Diabetes
Lewis County, WV (54041),11,"16,309",Diabetes
Lincoln County, WV (54043),12,"21,232",Diabetes
Logan County, WV (54045),40,"33,700",Diabetes
McDowell County, WV (54047),19,"19,141",Diabetes
Marion County, WV (54049),38,"56,538",Diabetes
Marshall County, WV (54051),12,"31,793",Diabetes
Mercer County, WV (54055),33,"60,468",Diabetes
Monongalia County, WV (54061),23,"104,622",Diabetes
Ohio County, WV (54069),22,"42,516",Diabetes
Preston County, WV (54077),26,"33,758",Diabetes
Putnam County, WV (54079),23,"56,941",Diabetes
Raleigh County, WV (54081),52,"76,601",Diabetes
Randolph County, WV (54083),11,"29,006",Diabetes
Taylor County, WV (54091),10,"16,859",Diabetes
Wayne County, WV (54099),22,"40,531",Diabetes
Wood County, WV (54107),38,"85,643",Diabetes
Wyoming County, WV (54109),14,"21,763",Diabetes
Barron County, WI (55005),16,"45,412",Diabetes
Brown County, WI (55009),53,"260,401",Diabetes
Calumet County, WI (55015),15,"49,553",Diabetes
Chippewa County, WI (55017),19,"63,649",Diabetes
Clark County, WI (55019),14,"34,557",Diabetes
Columbia County, WI (55021),16,"56,927",Diabetes
Dane County, WI (55025),73,"531,273",Diabetes
Dodge County, WI (55027),20,"88,068",Diabetes
Door County, WI (55029),10,"27,587",Diabetes
Douglas County, WI (55031),11,"43,509",Diabetes
Eau Claire County, WI (55035),22,"102,965",Diabetes
Fond du Lac County, WI (55039),19,"102,144",Diabetes
Grant County, WI (55043),14,"52,214",Diabetes
Jefferson County, WI (55055),13,"84,625",Diabetes
Juneau County, WI (55057),11,"26,274",Diabetes
Kenosha County, WI (55059),39,"168,183",Diabetes
Kewaunee County, WI (55061),11,"20,405",Diabetes
La Crosse County, WI (55063),26,"118,122",Diabetes
Lincoln County, WI (55069),18,"27,902",Diabetes
Manitowoc County, WI (55071),25,"79,536",Diabetes
Marathon County, WI (55073),41,"135,603",Diabetes
Milwaukee County, WI (55079),247,"951,448",Diabetes
Monroe County, WI (55081),24,"45,623",Diabetes
Oneida County, WI (55085),11,"35,601",Diabetes
Outagamie County, WI (55087),31,"184,526",Diabetes
Ozaukee County, WI (55089),19,"88,314",Diabetes
Polk County, WI (55095),12,"43,481",Diabetes
Racine County, WI (55101),61,"195,140",Diabetes
Rock County, WI (55105),33,"161,620",Diabetes
Rusk County, WI (55107),10,"14,127",Diabetes
St. Croix County, WI (55109),25,"88,029",Diabetes
Sauk County, WI (55111),32,"63,949",Diabetes
Shawano County, WI (55115),13,"41,062",Diabetes
Sheboygan County, WI (55117),32,"115,427",Diabetes
Taylor County, WI (55119),10,"20,439",Diabetes
Trempealeau County, WI (55121),10,"29,633",Diabetes
Walworth County, WI (55127),28,"102,959",Diabetes
Washburn County, WI (55129),10,"15,648",Diabetes
Washington County, WI (55131),29,"134,296",Diabetes
Waukesha County, WI (55133),104,"398,424",Diabetes
Waupaca County, WI (55135),20,"51,533",Diabetes
Winnebago County, WI (55139),36,"169,886",Diabetes
Wood County, WI (55141),27,"73,107",Diabetes
Fremont County, WY (56013),13,"40,242",Diabetes
Laramie County, WY (56021),25,"98,136",Diabetes
Natrona County, WY (56025),12,"81,039",Diabetes
Autauga County, AL (01001),118,"55,416",Diseases of Heart
Baldwin County, AL (01003),492,"208,563",Diseases of Heart
Barbour County, AL (01005),67,"25,965",Diseases of Heart
Bibb County, AL (01007),63,"22,643",Diseases of Heart
Blount County, AL (01009),154,"57,704",Diseases of Heart
Bullock County, AL (01011),31,"10,362",Diseases of Heart
Butler County, AL (01013),70,"19,998",Diseases of Heart
Calhoun County, AL (01015),454,"114,611",Diseases of Heart
Chambers County, AL (01017),100,"33,843",Diseases of Heart
Cherokee County, AL (01019),91,"25,725",Diseases of Heart
Chilton County, AL (01021),153,"43,941",Diseases of Heart
Choctaw County, AL (01023),57,"12,993",Diseases of Heart
Clarke County, AL (01025),92,"24,392",Diseases of Heart
Clay County, AL (01027),59,"13,492",Diseases of Heart
Cleburne County, AL (01029),63,"14,924",Diseases of Heart
Coffee County, AL (01031),131,"51,226",Diseases of Heart
Colbert County, AL (01033),161,"54,216",Diseases of Heart
Conecuh County, AL (01035),40,"12,395",Diseases of Heart
Coosa County, AL (01037),41,"10,581",Diseases of Heart
Covington County, AL (01039),131,"37,458",Diseases of Heart
Crenshaw County, AL (01041),38,"13,913",Diseases of Heart
Cullman County, AL (01043),245,"82,471",Diseases of Heart
Dale County, AL (01045),136,"49,226",Diseases of Heart
Dallas County, AL (01047),164,"40,008",Diseases of Heart
DeKalb County, AL (01049),211,"70,900",Diseases of Heart
Elmore County, AL (01051),171,"81,799",Diseases of Heart
Escambia County, AL (01053),112,"37,728",Diseases of Heart
Etowah County, AL (01055),382,"102,564",Diseases of Heart
Fayette County, AL (01057),60,"16,546",Diseases of Heart
Franklin County, AL (01059),83,"31,628",Diseases of Heart
Geneva County, AL (01061),101,"26,614",Diseases of Heart
Greene County, AL (01063),31,"8,422",Diseases of Heart
Hale County, AL (01065),57,"14,952",Diseases of Heart
Henry County, AL (01067),56,"17,164",Diseases of Heart
Houston County, AL (01069),258,"104,056",Diseases of Heart
Jackson County, AL (01071),200,"52,138",Diseases of Heart
Jefferson County, AL (01073),"1,397","659,521",Diseases of Heart
Lamar County, AL (01075),55,"13,918",Diseases of Heart
Lauderdale County, AL (01077),291,"92,318",Diseases of Heart
Lawrence County, AL (01079),111,"33,244",Diseases of Heart
Lee County, AL (01081),222,"158,991",Diseases of Heart
Limestone County, AL (01083),207,"92,753",Diseases of Heart
Lowndes County, AL (01085),30,"10,358",Diseases of Heart
Macon County, AL (01087),79,"18,963",Diseases of Heart
Madison County, AL (01089),737,"356,967",Diseases of Heart
Marengo County, AL (01091),91,"19,673",Diseases of Heart
Marion County, AL (01093),129,"29,998",Diseases of Heart
Marshall County, AL (01095),298,"95,157",Diseases of Heart
Mobile County, AL (01097),"1,125","414,836",Diseases of Heart
Monroe County, AL (01099),49,"21,530",Diseases of Heart
Montgomery County, AL (01101),436,"226,349",Diseases of Heart
Morgan County, AL (01103),349,"119,012",Diseases of Heart
Perry County, AL (01105),30,"9,574",Diseases of Heart
Pickens County, AL (01107),65,"20,324",Diseases of Heart
Pike County, AL (01109),73,"33,286",Diseases of Heart
Randolph County, AL (01111),99,"22,652",Diseases of Heart
Russell County, AL (01113),140,"58,172",Diseases of Heart
St. Clair County, AL (01115),229,"88,019",Diseases of Heart
Shelby County, AL (01117),358,"210,622",Diseases of Heart
Sumter County, AL (01119),27,"13,040",Diseases of Heart
Talladega County, AL (01121),252,"80,103",Diseases of Heart
Tallapoosa County, AL (01123),144,"40,727",Diseases of Heart
Tuscaloosa County, AL (01125),461,"206,102",Diseases of Heart
Walker County, AL (01127),319,"64,967",Diseases of Heart
Washington County, AL (01129),48,"16,756",Diseases of Heart
Wilcox County, AL (01131),34,"10,986",Diseases of Heart
Winston County, AL (01133),74,"23,805",Diseases of Heart
Anchorage Borough, AK (02020),298,"298,192",Diseases of Heart
Bethel Census Area, AK (02050),16,"17,968",Diseases of Heart
Dillingham Census Area, AK (02070),10,"4,954",Diseases of Heart
Fairbanks North Star Borough, AK (02090),85,"100,605",Diseases of Heart
Juneau Borough, AK (02110),49,"32,468",Diseases of Heart
Kenai Peninsula Borough, AK (02122),102,"58,506",Diseases of Heart
Ketchikan Gateway Borough, AK (02130),17,"13,746",Diseases of Heart
Matanuska-Susitna Borough, AK (02170),108,"104,365",Diseases of Heart
Nome Census Area, AK (02180),17,"9,917",Diseases of Heart
North Slope Borough, AK (02185),14,"9,606",Diseases of Heart
Northwest Arctic Borough, AK (02188),16,"7,673",Diseases of Heart
Prince of Wales-Hyder Census Area, AK (02198),15,"6,347",Diseases of Heart
Sitka Borough, AK (02220),18,"8,830",Diseases of Heart
Apache County, AZ (04001),103,"73,112",Diseases of Heart
Cochise County, AZ (04003),282,"125,770",Diseases of Heart
Coconino County, AZ (04005),155,"140,908",Diseases of Heart
Gila County, AZ (04007),213,"53,556",Diseases of Heart
Graham County, AZ (04009),56,"37,599",Diseases of Heart
Greenlee County, AZ (04011),14,"9,613",Diseases of Heart
La Paz County, AZ (04012),68,"20,317",Diseases of Heart
Maricopa County, AZ (04013),"6,217","4,242,997",Diseases of Heart
Mohave County, AZ (04015),934,"205,249",Diseases of Heart
Navajo County, AZ (04017),188,"110,026",Diseases of Heart
Pima County, AZ (04019),"2,092","1,016,206",Diseases of Heart
Pinal County, AZ (04021),613,"418,540",Diseases of Heart
Santa Cruz County, AZ (04023),68,"45,985",Diseases of Heart
Yavapai County, AZ (04025),608,"225,562",Diseases of Heart
Yuma County, AZ (04027),346,"205,631",Diseases of Heart
Arkansas County, AR (05001),68,"18,214",Diseases of Heart
Ashley County, AR (05003),53,"20,492",Diseases of Heart
Baxter County, AR (05005),147,"41,062",Diseases of Heart
Benton County, AR (05007),397,"258,291",Diseases of Heart
Boone County, AR (05009),155,"37,304",Diseases of Heart
Bradley County, AR (05011),44,"10,996",Diseases of Heart
Calhoun County, AR (05013),17,"5,144",Diseases of Heart
Carroll County, AR (05015),98,"27,646",Diseases of Heart
Chicot County, AR (05017),41,"10,945",Diseases of Heart
Clark County, AR (05019),81,"22,657",Diseases of Heart
Clay County, AR (05021),57,"14,920",Diseases of Heart
Cleburne County, AR (05023),66,"25,264",Diseases of Heart
Cleveland County, AR (05025),27,"8,241",Diseases of Heart
Columbia County, AR (05027),79,"23,901",Diseases of Heart
Conway County, AR (05029),73,"20,937",Diseases of Heart
Craighead County, AR (05031),265,"105,835",Diseases of Heart
Crawford County, AR (05033),155,"62,267",Diseases of Heart
Crittenden County, AR (05035),105,"49,235",Diseases of Heart
Cross County, AR (05037),56,"17,037",Diseases of Heart
Dallas County, AR (05039),33,"7,469",Diseases of Heart
Desha County, AR (05041),62,"11,876",Diseases of Heart
Drew County, AR (05043),60,"18,651",Diseases of Heart
Faulkner County, AR (05045),201,"122,227",Diseases of Heart
Franklin County, AR (05047),62,"17,626",Diseases of Heart
Fulton County, AR (05049),40,"12,123",Diseases of Heart
Garland County, AR (05051),369,"97,477",Diseases of Heart
Grant County, AR (05053),50,"18,082",Diseases of Heart
Greene County, AR (05055),112,"44,598",Diseases of Heart
Hempstead County, AR (05057),69,"21,974",Diseases of Heart
Hot Spring County, AR (05059),100,"33,374",Diseases of Heart
Howard County, AR (05061),53,"13,377",Diseases of Heart
Independence County, AR (05063),139,"37,168",Diseases of Heart
Izard County, AR (05065),49,"13,433",Diseases of Heart
Jackson County, AR (05067),48,"17,221",Diseases of Heart
Jefferson County, AR (05069),246,"70,016",Diseases of Heart
Johnson County, AR (05071),74,"26,176",Diseases of Heart
Lafayette County, AR (05073),32,"6,847",Diseases of Heart
Lawrence County, AR (05075),55,"16,735",Diseases of Heart
Lee County, AR (05077),34,"9,310",Diseases of Heart
Lincoln County, AR (05079),48,"13,705",Diseases of Heart
Little River County, AR (05081),50,"12,451",Diseases of Heart
Logan County, AR (05083),63,"21,792",Diseases of Heart
Lonoke County, AR (05085),160,"72,228",Diseases of Heart
Madison County, AR (05087),61,"16,072",Diseases of Heart
Marion County, AR (05089),63,"16,325",Diseases of Heart
Miller County, AR (05091),107,"43,787",Diseases of Heart
Mississippi County, AR (05093),139,"42,835",Diseases of Heart
Monroe County, AR (05095),32,"7,169",Diseases of Heart
Montgomery County, AR (05097),28,"8,879",Diseases of Heart
Nevada County, AR (05099),31,"8,398",Diseases of Heart
Newton County, AR (05101),31,"7,936",Diseases of Heart
Ouachita County, AR (05103),90,"24,098",Diseases of Heart
Perry County, AR (05105),39,"10,132",Diseases of Heart
Phillips County, AR (05107),46,"18,975",Diseases of Heart
Pike County, AR (05109),36,"10,832",Diseases of Heart
Poinsett County, AR (05111),92,"24,023",Diseases of Heart
Polk County, AR (05113),61,"20,173",Diseases of Heart
Pope County, AR (05115),138,"63,779",Diseases of Heart
Prairie County, AR (05117),25,"8,251",Diseases of Heart
Pulaski County, AR (05119),915,"393,250",Diseases of Heart
Randolph County, AR (05121),62,"17,448",Diseases of Heart
St. Francis County, AR (05123),81,"26,196",Diseases of Heart
Saline County, AR (05125),243,"118,703",Diseases of Heart
Scott County, AR (05127),35,"10,277",Diseases of Heart
Searcy County, AR (05129),30,"7,967",Diseases of Heart
Sebastian County, AR (05131),292,"127,793",Diseases of Heart
Sevier County, AR (05133),46,"16,910",Diseases of Heart
Sharp County, AR (05135),77,"17,157",Diseases of Heart
Stone County, AR (05137),34,"12,539",Diseases of Heart
Union County, AR (05139),103,"39,887",Diseases of Heart
Van Buren County, AR (05141),59,"16,628",Diseases of Heart
Washington County, AR (05143),555,"228,049",Diseases of Heart
White County, AR (05145),237,"79,263",Diseases of Heart
Woodruff County, AR (05147),34,"6,641",Diseases of Heart
Yell County, AR (05149),75,"21,552",Diseases of Heart
Alameda County, CA (06001),"2,013","1,647,704",Diseases of Heart
Amador County, CA (06005),96,"37,383",Diseases of Heart
Butte County, CA (06007),565,"226,864",Diseases of Heart
Calaveras County, CA (06009),117,"45,171",Diseases of Heart
Colusa County, CA (06011),42,"21,588",Diseases of Heart
Contra Costa County, CA (06013),"1,443","1,135,127",Diseases of Heart
Del Norte County, CA (06015),51,"27,540",Diseases of Heart
El Dorado County, CA (06017),354,"185,625",Diseases of Heart
Fresno County, CA (06019),"1,554","979,915",Diseases of Heart
Glenn County, CA (06021),68,"28,085",Diseases of Heart
Humboldt County, CA (06023),294,"136,646",Diseases of Heart
Imperial County, CA (06025),256,"180,883",Diseases of Heart
Inyo County, CA (06027),40,"18,144",Diseases of Heart
Kern County, CA (06029),"1,435","884,788",Diseases of Heart
Kings County, CA (06031),196,"149,785",Diseases of Heart
Lake County, CA (06033),178,"64,116",Diseases of Heart
Lassen County, CA (06035),56,"30,870",Diseases of Heart
Los Angeles County, CA (06037),"16,351","10,137,915",Diseases of Heart
Madera County, CA (06039),236,"154,697",Diseases of Heart
Marin County, CA (06041),417,"260,651",Diseases of Heart
Mariposa County, CA (06043),52,"17,410",Diseases of Heart
Mendocino County, CA (06045),185,"87,628",Diseases of Heart
Merced County, CA (06047),426,"268,672",Diseases of Heart
Modoc County, CA (06049),23,"8,795",Diseases of Heart
Monterey County, CA (06053),495,"435,232",Diseases of Heart
Napa County, CA (06055),292,"142,166",Diseases of Heart
Nevada County, CA (06057),245,"99,107",Diseases of Heart
Orange County, CA (06059),"4,670","3,172,532",Diseases of Heart
Placer County, CA (06061),668,"380,531",Diseases of Heart
Plumas County, CA (06063),39,"18,627",Diseases of Heart
Riverside County, CA (06065),"4,366","2,387,741",Diseases of Heart
Sacramento County, CA (06067),"2,532","1,514,460",Diseases of Heart
San Benito County, CA (06069),67,"59,414",Diseases of Heart
San Bernardino County, CA (06071),"3,368","2,140,096",Diseases of Heart
San Diego County, CA (06073),"4,867","3,317,749",Diseases of Heart
San Francisco County, CA (06075),"1,283","870,887",Diseases of Heart
San Joaquin County, CA (06077),"1,220","733,709",Diseases of Heart
San Luis Obispo County, CA (06079),487,"282,887",Diseases of Heart
San Mateo County, CA (06081),"1,102","764,797",Diseases of Heart
Santa Barbara County, CA (06083),726,"446,170",Diseases of Heart
Santa Clara County, CA (06085),"2,122","1,919,402",Diseases of Heart
Santa Cruz County, CA (06087),368,"274,673",Diseases of Heart
Shasta County, CA (06089),511,"179,631",Diseases of Heart
Sierra County, CA (06091),10,"2,947",Diseases of Heart
Siskiyou County, CA (06093),140,"43,603",Diseases of Heart
Solano County, CA (06095),605,"440,207",Diseases of Heart
Sonoma County, CA (06097),962,"503,070",Diseases of Heart
Stanislaus County, CA (06099),"1,035","541,560",Diseases of Heart
Sutter County, CA (06101),201,"96,651",Diseases of Heart
Tehama County, CA (06103),151,"63,276",Diseases of Heart
Trinity County, CA (06105),30,"12,782",Diseases of Heart
Tulare County, CA (06107),753,"460,437",Diseases of Heart
Tuolumne County, CA (06109),156,"53,804",Diseases of Heart
Ventura County, CA (06111),"1,234","849,738",Diseases of Heart
Yolo County, CA (06113),263,"215,802",Diseases of Heart
Yuba County, CA (06115),145,"75,275",Diseases of Heart
Adams County, CO (08001),521,"498,187",Diseases of Heart
Alamosa County, CO (08003),32,"16,654",Diseases of Heart
Arapahoe County, CO (08005),696,"637,068",Diseases of Heart
Archuleta County, CO (08007),21,"12,854",Diseases of Heart
Baca County, CO (08009),11,"3,568",Diseases of Heart
Boulder County, CO (08013),350,"322,226",Diseases of Heart
Broomfield County, CO (08014),47,"66,529",Diseases of Heart
Chaffee County, CO (08015),45,"19,058",Diseases of Heart
Clear Creek County, CO (08019),13,"9,436",Diseases of Heart
Conejos County, CO (08021),18,"8,129",Diseases of Heart
Delta County, CO (08029),84,"30,442",Diseases of Heart
Denver County, CO (08031),904,"693,060",Diseases of Heart
Douglas County, CO (08035),234,"328,632",Diseases of Heart
Eagle County, CO (08037),18,"53,989",Diseases of Heart
Elbert County, CO (08039),32,"25,231",Diseases of Heart
El Paso County, CO (08041),899,"688,284",Diseases of Heart
Fremont County, CO (08043),134,"47,446",Diseases of Heart
Garfield County, CO (08045),56,"58,887",Diseases of Heart
Huerfano County, CO (08055),20,"6,677",Diseases of Heart
Jefferson County, CO (08059),904,"571,837",Diseases of Heart
Kit Carson County, CO (08063),18,"8,195",Diseases of Heart
La Plata County, CO (08067),63,"55,623",Diseases of Heart
Larimer County, CO (08069),423,"339,993",Diseases of Heart
Las Animas County, CO (08071),48,"14,103",Diseases of Heart
Logan County, CO (08075),61,"21,919",Diseases of Heart
Mesa County, CO (08077),364,"150,083",Diseases of Heart
Moffat County, CO (08081),18,"13,109",Diseases of Heart
Montezuma County, CO (08083),59,"26,999",Diseases of Heart
Montrose County, CO (08085),107,"41,471",Diseases of Heart
Morgan County, CO (08087),56,"28,274",Diseases of Heart
Otero County, CO (08089),46,"18,295",Diseases of Heart
Park County, CO (08093),10,"17,166",Diseases of Heart
Phillips County, CO (08095),15,"4,288",Diseases of Heart
Pitkin County, CO (08097),13,"17,752",Diseases of Heart
Prowers County, CO (08099),34,"11,922",Diseases of Heart
Pueblo County, CO (08101),295,"165,123",Diseases of Heart
Rio Blanco County, CO (08103),12,"6,545",Diseases of Heart
Rio Grande County, CO (08105),32,"11,479",Diseases of Heart
Routt County, CO (08107),20,"24,648",Diseases of Heart
Saguache County, CO (08109),11,"6,389",Diseases of Heart
Summit County, CO (08117),13,"30,374",Diseases of Heart
Teller County, CO (08119),32,"24,043",Diseases of Heart
Washington County, CO (08121),15,"4,908",Diseases of Heart
Weld County, CO (08123),345,"294,932",Diseases of Heart
Yuma County, CO (08125),17,"10,103",Diseases of Heart
Fairfield County, CT (09001),"1,688","944,177",Diseases of Heart
Hartford County, CT (09003),"1,810","892,389",Diseases of Heart
Litchfield County, CT (09005),442,"182,571",Diseases of Heart
Middlesex County, CT (09007),347,"163,329",Diseases of Heart
New Haven County, CT (09009),"1,729","856,875",Diseases of Heart
New London County, CT (09011),529,"269,801",Diseases of Heart
Tolland County, CT (09013),245,"151,118",Diseases of Heart
Windham County, CT (09015),261,"116,192",Diseases of Heart
Kent County, DE (10001),388,"174,827",Diseases of Heart
New Castle County, DE (10003),985,"556,987",Diseases of Heart
Sussex County, DE (10005),601,"220,251",Diseases of Heart
District of Columbia, DC (11001),"1,375","681,170",Diseases of Heart
Alachua County, FL (12001),346,"263,496",Diseases of Heart
Baker County, FL (12003),38,"27,937",Diseases of Heart
Bay County, FL (12005),432,"183,974",Diseases of Heart
Bradford County, FL (12007),63,"26,926",Diseases of Heart
Brevard County, FL (12009),"1,720","579,130",Diseases of Heart
Broward County, FL (12011),"3,747","1,909,632",Diseases of Heart
Calhoun County, FL (12013),42,"14,423",Diseases of Heart
Charlotte County, FL (12015),574,"178,465",Diseases of Heart
Citrus County, FL (12017),651,"143,621",Diseases of Heart
Clay County, FL (12019),313,"208,311",Diseases of Heart
Collier County, FL (12021),770,"365,136",Diseases of Heart
Columbia County, FL (12023),180,"69,299",Diseases of Heart
DeSoto County, FL (12027),69,"35,800",Diseases of Heart
Dixie County, FL (12029),46,"16,300",Diseases of Heart
Duval County, FL (12031),"1,569","926,255",Diseases of Heart
Escambia County, FL (12033),657,"315,187",Diseases of Heart
Flagler County, FL (12035),302,"108,310",Diseases of Heart
Franklin County, FL (12037),27,"11,901",Diseases of Heart
Gadsden County, FL (12039),88,"46,006",Diseases of Heart
Gilchrist County, FL (12041),37,"17,212",Diseases of Heart
Glades County, FL (12043),29,"13,970",Diseases of Heart
Gulf County, FL (12045),35,"15,990",Diseases of Heart
Hamilton County, FL (12047),35,"14,361",Diseases of Heart
Hardee County, FL (12049),51,"27,360",Diseases of Heart
Hendry County, FL (12051),81,"39,290",Diseases of Heart
Hernando County, FL (12053),592,"182,835",Diseases of Heart
Highlands County, FL (12055),377,"100,917",Diseases of Heart
Hillsborough County, FL (12057),"2,390","1,376,238",Diseases of Heart
Holmes County, FL (12059),77,"19,487",Diseases of Heart
Indian River County, FL (12061),509,"151,563",Diseases of Heart
Jackson County, FL (12063),125,"48,229",Diseases of Heart
Jefferson County, FL (12065),40,"13,906",Diseases of Heart
Lafayette County, FL (12067),16,"8,617",Diseases of Heart
Lake County, FL (12069),950,"335,396",Diseases of Heart
Lee County, FL (12071),"1,602","722,336",Diseases of Heart
Leon County, FL (12073),348,"287,822",Diseases of Heart
Levy County, FL (12075),125,"39,961",Diseases of Heart
Liberty County, FL (12077),16,"8,202",Diseases of Heart
Madison County, FL (12079),57,"18,224",Diseases of Heart
Manatee County, FL (12081),985,"375,888",Diseases of Heart
Marion County, FL (12083),"1,368","349,020",Diseases of Heart
Martin County, FL (12085),464,"158,701",Diseases of Heart
Miami-Dade County, FL (12086),"5,365","2,712,945",Diseases of Heart
Monroe County, FL (12087),173,"79,077",Diseases of Heart
Nassau County, FL (12089),175,"80,622",Diseases of Heart
